model,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,no_of_owner,omv,arf,accessories,model_make_id,model_name,model_trim,model_year,model_body,model_engine_cyl,model_engine_fuel,model_drive,model_transmission_type,model_seats,model_weight_kg,model_fuel_cap_l
Audi Q3 1.4A TFSI S-tronic,153800,20430,42000,1395,110,29-Dec-2020,6.77,1,27755,30857,"Virtual cockpit, MMI touch screen, 360 camera, navigation, smartphone interface, electric tailgate, kick boot, ambient light and keyless ignition.",6.0,Q3,6403.0,2020.0,SUV,I4,premium unleaded (recommended),all wheel drive,8-speed shiftable automatic,5.0,1770.9750566893424,60.18150000000001
Mercedes-Benz E-Class E200 Exclusive,108800,22110,100000,1991,135,20-Jul-2017,3.32,3,54744,70540,"360 view camera, MBUX infotainment, wireless smartphone charging, Nappa upholstery, Apple CarPlay, Android Auto and instrument cluster.",303.0,E-Class,17195.0,2017.0,Sedan,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,5.0,1879.8185941043084,79.8635
Toyota Camry 2.5A,53800,16440,138000,2494,133,29-Jun-2016,2.27,2,29296,33015,"17"" sports rims, electric leather seats, auto headlamps, factory audio with BT, dashcam, reverse cam/sensors, rear roller blind, rear aircon.",84.0,Camry,20686.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1469.3877551020407,64.345
Audi A4 2.0A TFSI S-tronic,96800,17830,88000,1984,140,25-Jul-2018,4.34,1,33421,38790,"Original factory fitted 17"" sports rim, brown color premium leather seats with electric motor, built in infotainment from Audi, parking sensor,keyless",104.0,A4,12263.0,2018.0,Sedan,I4,premium unleaded (recommended),all wheel drive,7-speed automated manual,5.0,1644.4444444444443,57.910500000000006
Mercedes-Benz CLA-Class CLA200 Shooting Brake Urban,74800,18330,100000,1595,115,23-May-2017,3.17,2,33209,33493,"16"" Sports Rim, Black Color Premium Leather Seats With Electric & Memory, Andriod Infotainment With Bluetooth,USB, Sim Card,Reverse Camera, Solar Film",301.0,CLA-Class,17178.0,2017.0,Sedan,I4,premium unleaded (required),all wheel drive,7-speed shiftable automatic,5.0,1564.625850340136,56.01800000000001
Honda Civic 1.6A VTi,56800,16540,96000,1597,92,10-Jan-2017,2.8,1,20640,20896,"Original Audio Player With Apple/Android Carplay, Bluetooth, Leather Seats, Walkaway Lock/unlock, Reverse Camera, Multi Function Steering, Rear Aircon",216.0,Civic,16503.0,2017.0,Hatchback,I4,regular unleaded,front wheel drive,continuously variable-speed automatic,5.0,1339.6825396825395,46.934000000000005
Mercedes-Benz C-Class C180 Avantgarde,141800,21510,45000,1595,115,26-Sep-2019,5.51,2,38805,46327,"Factory Fitted Wide Screen Display. Electric Leather Seat, Active Brake Assist, Park Assist Pilot, Electric Tailgate.",300.0,C-Class,11145.0,2019.0,Coupe,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,4.0,1804.53514739229,65.859
Honda Odyssey 2.4A EX-S 8-Seater,63800,20920,85000,2356,129,12-Jul-2016,2.3,1,28006,31209,"Luxurious Leather Seats, Integrated 8"" Touchscreen Infotainment Systems With BT/Rev.Cam, Muti Function Steering With Cruise Ctrl, Thinkware DashCam.",41.0,Odyssey,19540.0,2016.0,Minivan,V6,regular unleaded,front wheel drive,6-speed automatic,8.0,2027.2108843537412,79.485
Mercedes-Benz GLC-Class GLC250d AMG Line 4MATIC,100800,25710,79000,2143,150,20-Feb-2017,2.91,1,46202,51683,"Original factory fitted 19"" AMG sports rim, black color premium leather seats with electric, Panoramic Sunroof, multi function steering wheel, keyless",307.0,GLC-Class,17205.0,2017.0,SUV,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,5.0,1879.8185941043084,65.859
BMW 3 Series 318i M-Sport,79888,18630,95000,1499,100,18-Aug-2017,3.4,2,32765,32871,"Original factory fitted 18"" M-Sports sports rim, black color premium leather seats with electric and memory, multi function steering wheel,solar film.",9.0,3 Series,15388.0,2017.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1528.344671201814,59.803
Mercedes-Benz C-Class C180 Coupe Sunroof,80800,24440,60000,1595,115,16-Aug-2016,2.4,2,40908,44272,"Original Factory Fitted 17 Inch Sports Rim, Black Color Premium Leather Seats With Electric & Memory, Infotainment With Touch Pad, Dynamic Selection.",300.0,C-Class,20034.0,2016.0,Sedan,V8,premium unleaded (required),rear wheel drive,7-speed shiftable automatic,5.0,1715.1927437641723,68.13
MINI Cooper S Roadster 1.6A ,58800,14950,45000,1598,135,27-Feb-2013,3.93,3,31643,26643,"Original Factory Fitted 17"" Sports Rim, Black Color Premium Leather Seats, After Market 10"" Android Audio Player, Solar Film, Automatic Rear Spoiler!",575.0,Cooper ,28020.0,2013.0,Hatchback,4.0,Gasoline,Front,6-speed manual ,4.0,1149.659863945578,49.962
Mercedes-Benz E-Class E300e Plug-in Hybrid Avantgarde,237800,24020,19000,1991,245,24-Aug-2022,8.42,1,63212,70782,"Wireless smartphone charging, Apple CarPlay, Android Auto, navigation system, Bluetooth, soft close, keyless entry, keyless engine start, MBUX system.",303.0,E-Class,2553.0,2022.0,Midsize Cars,4.0,Diesel,Rear Wheel Drive,Automatic,4.0,2008.6167800453516,65.859
Porsche Cayenne Hybrid S 3.0A ,135888,19110,120000,2995,245,19-Sep-2011,7.02,2,111814,67089,"Original Factory Fitted 18"" Sports Rim, Black Color Premium Leather Seats With Electric, All Rounded Parking Sensor, Electric Tail Gate, Keyless Entry",339.0,Cayenne,33023.0,2011.0,SUV,6.0,Gasoline,4WD,Manual,5.0,1994.557823129252,84.78399999999999
Mercedes-Benz E-Class E200,86800,20340,73000,1991,135,28-Oct-2016,2.6,2,53238,67829,"PARF Car, Premium Ad Car, Low Mileage Car",303.0,E-Class,20062.0,2016.0,Wagon,V8,premium unleaded (required),all wheel drive,7-speed shiftable automatic,5.0,2094.784580498866,79.8635
Mazda 6 2.0A Executive,43800,15590,149438,1998,121,29-Apr-2016,2.02,1,21490,22086,"Electric Leather Seats, 17"" Sports Rims, Factory Fitted Audio System With HUD/Reverse Camera, Solar Film, Fog Lights, Think-Ware In-Car Cameras.",407.0,6,19986.0,2016.0,Sedan,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1473.922902494331,62.074
Kia Sorento 2.4A SX Sunroof,128800,18810,43200,2359,136,18-Mar-2020,5.98,1,28804,32326,"Electric/ventilated seats, electric tailgate, Panoramic roof, Apple CarPlay/Android Auto, reverse camera, front and back car camera.",261.0,Sorento,7929.0,2020.0,SUV,V6,regular unleaded,front wheel drive,8-speed shiftable automatic,7.0,1799.5464852607709,71.158
Audi A4 1.4A TFSI S-tronic,60800,18230,136000,1395,110,26-Oct-2016,2.59,1,32161,27026,"Accessories Audi MMI with Bluetooth, multi function steering with paddle shifter, electric leather seats, sensors, rear climatic aircon",104.0,A4,18287.0,2016.0,Sedan,I4,premium unleaded (required),front wheel drive,continuously variable-speed automatic,5.0,1624.9433106575964,60.938500000000005
Mercedes-Benz CLA-Class CLA180 ,78800,15750,83000,1595,90,24-Apr-2015,5.0,2,27462,20447,"Electric folding side mirrors, auto headlights, multi zone aircon, multi function steering wheel and etc.",301.0,CLA-Class,22891.0,2015.0,Sedan,I4,premium unleaded (required),front wheel drive,7-speed automated manual,5.0,1484.8072562358277,49.5835
BMW X1 sDrive18i M-Sport,169800,18570,21344,1499,100,28-Jan-2022,7.85,2,39886,47841,"18"" M s/rims, GPS/CarPlay/Bluetooth/audio sound system, 2 x electric leather seat/memory, auto climatic aircon, cruise control, rear knockdown seats.",147.0,X1,817.0,2022.0,Sport Utility Vehicles,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,5.0,1611.7913832199547,60.938500000000005
MINI Cooper S Coupe 1.6A ,86800,11280,138000,1598,135,15-Dec-2011,7.69,6,31436,31436,"Oz rims, 4 pot force brakes, bastuck exhaust and mid pipe with cert, carbon fibre interior and many more.",575.0,Cooper,32821.0,2011.0,Hatchback,4.0,Gasoline,Front,Manual,4.0,1224.9433106575964,49.962
Mercedes-Benz GLA-Class GLA200 SE,91800,20090,108147,1595,115,29-Nov-2017,3.68,1,34580,35412,"17"" Sports Rims, Audio Sound System, Leather Seats, Electric Park Brake, Reverse Camera, Front And Rear Parking Sensors, Knock Down Seat, Fog Lights.",305.0,GLA-Class,17202.0,2017.0,SUV,I4,premium unleaded (required),all wheel drive,7-speed shiftable automatic,5.0,1567.8004535147393,56.01800000000001
Mercedes-Benz GLA-Class GLA200 Urban Edition,66800,22460,130000,1595,115,22-Jul-2016,2.33,3,29913,28879,"Bodykit, upgraded rims, AMG BBK, Electric tailgate, newly reupholstered interior, infotainment system with bluetooth and navigation.",305.0,GLA-Class,20068.0,2016.0,SUV,I4,premium unleaded (required),all wheel drive,7-speed automated manual,5.0,1567.8004535147393,56.01800000000001
Subaru Forester 2.0i-L Sunroof,54388,14990,116000,1995,110,11-May-2017,3.05,1,14835,14835,"Sports rims, dual electric leather seats, Sunroof, factory audio with r/cam, multi -function steering, info display, si - drive.",354.0,Forester,17829.0,2017.0,SUV,flat 4,premium unleaded (required),all wheel drive,continuously variable-speed automatic,5.0,1656.689342403628,60.18150000000001
Honda Odyssey 2.4A EXV-S Sunroof,123800,21550,92000,2356,129,18-Feb-2019,4.9,1,31360,35904,"Electric leather seats, auto sliding doors, mid row business Class seats. Android player with Bluetooth, reverse cameras and parking assist.",41.0,Odyssey,10441.0,2019.0,Minivan,V6,regular unleaded,front wheel drive,10-speed shiftable automatic,8.0,2082.993197278912,73.8075
Honda Fit Hybrid 1.5A,69800,14830,88653,1496,101,3-Sep-2018,4.45,1,17525,7525,"Sports rims, DVD/Bluetooth/audio sound system, leather seats, auto retractable side mirrors, auto climatic aircon control, knockdown rear seats.",439.0,Fit,13518.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1176.8707482993198,40.121
Volvo S60 T2,65800,14540,78158,1498,90,21-Dec-2017,3.74,2,25458,22642,"Keyless entry, electric seats, Bluetooth, auto climate control, knockdown rear seats, auto headlamps, reverse sensors. Rear passenger aircon.",88.0,S60,18164.0,2017.0,Sedan,I4,premium unleaded (recommended),front wheel drive,8-speed shiftable automatic,5.0,1641.2698412698412,67.373
McLaren 720S Spider,899000,127850,12500,3994,530,22-Aug-2019,5.42,4,244632,412338,"19/20"" twin-spoke rims. Stealth effect pack. Active rear carbon spoiler. 7"" infotainment touch screen. Folding driver display. 360 reverse camera view",293.0,720S,11122.0,2019.0,Coupe,V8,premium unleaded (required),rear wheel drive,7-speed automated manual,2.0,1423.5827664399092,71.915
Lexus IS Turbo IS300 Executive,108888,20530,128000,1998,180,30-May-2018,4.19,2,38430,45802,"Factory 17"" sports rims. Beautiful original Lexus pearl metallic white paintwork. LED headlights and daytime running lights. Paddle shifters & more.",270.0,IS,14045.0,2018.0,Sedan,I4,premium unleaded (required),rear wheel drive,8-speed shiftable automatic,5.0,1624.9433106575964,65.859
Nissan Note 1.2A DIG-S,39800,13490,65000,1198,72,27-Dec-2016,2.76,2,14938,5000,"Sports rims, reverse sensors, leather seats, radio system, retractable side mirrors and etc.",498.0,Versa Note,20316.0,2016.0,Hatchback,I4,regular unleaded,front wheel drive,5-speed manual,5.0,1094.7845804988665,40.87800000000001
Bentley Continental GT 4.0A V8 S,342800,73790,44000,3993,388,26-Sep-2016,2.51,3,190447,314805,"20"" original rims, keyless entry and start/stop. Luxurious blend of grey and red color for seamless maintenance of the interior. Genuine mileage.",553.0,Continental GT,18358.0,2016.0,Convertible,W12,premium unleaded (required),all wheel drive,8-speed shiftable automatic,4.0,2494.784580498866,90.84
BMW X5 xDrive40i,213800,31560,86000,2998,250,21-Jan-2019,4.83,3,83555,122399,"12.3 inch GPS navigation system. 360 camera. Soft close. Harman Kardon surround system, electric seats. Wireless charging, Apple/Android CarPlay.",150.0,X5,9405.0,2019.0,SUV,I6,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,2182.766439909297,82.8915
Mercedes-Benz C-Class C200 Coupe Mild Hybrid AMG Line,154500,23630,65000,1497,145,15-Jul-2019,5.31,2,47025,57835,"Factory fitted audio system, Apple CarPlay and Android Auto, digital instrument panel, ambient lights. Drive select model, 2x electric memory seats.",300.0,C-Class,11145.0,2019.0,Coupe,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,4.0,1804.53514739229,65.859
Audi A3 Sedan 1.0A TFSI S-tronic,94800,15710,51228,999,85,20-Jun-2019,5.24,2,23359,24703,"LED Auto Headlights & DRL, Auto Fold Mirrors/wipers, Keyless Entry & Engine Start/stop, Rear Aircon, Electric Driver Seat, Reverse Sensors With Camera",103.0,A3,9250.0,2019.0,Convertible,I4,premium unleaded (recommended),front wheel drive,7-speed automated manual,4.0,1559.6371882086166,49.962
Honda Fit 1.3A GF,62800,14600,64935,1317,73,9-May-2018,4.04,1,14792,5000,"Recording camera, leather upholstery, sports rims. Bluetooth touchscreen audio system. Digital aircon.",439.0,Fit,13518.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1176.8707482993198,40.121
Mercedes-Benz C-Class C180 Mild Hybrid AMG Line,219800,22850,32000,1496,140,14-Oct-2022,8.56,1,40062,48087,"18""AMG 5 spoke light alloy wheels. Latest MBUX system with 11.9"" touchscreen display. Multi function steering, paddle shifters, memory seats. Keyless.",300.0,C-Class,2531.0,2022.0,Compact Cars,4.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,4.0,1774.6031746031745,65.859
Hyundai Elantra 1.6A GLS S,71800,14090,79105,1591,93,13-Nov-2018,4.64,2,12628,12628,"Electrical Leather Seats, 16"" Sports Rims, Reverse Sensors/camera, Fog Lamps, Electric Park Brake, Integrated Touch Screen Infotainment.",440.0,Elantra GT,13580.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1334.6938775510205,52.99
Volkswagen Golf 1.4A TSI ,63800,12750,105000,1395,90,22-Apr-2015,5.0,1,19256,5000,Powerful turbocharged engine paired with 7 speed DSG gearbox. Original stock unit.,385.0,Golf GTI,23807.0,2015.0,Hatchback,I4,premium unleaded (recommended),front wheel drive,6-speed manual,5.0,1374.6031746031745,49.962
Hyundai Tucson 1.6A GLS T-GDi DCT Turbo,95800,17410,74100,1591,130,17-Jan-2019,4.82,1,22556,23579,"Electronic leather seats, Apple CarPlay, electric tailgate, multi function steering control, keyless entry, reverse camera.",235.0,Tucson,10553.0,2019.0,SUV,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,5.0,1583.673469387755,62.074
Audi Q5 2.0A TFSI Quattro,72800,19570,139000,1984,132,28-Oct-2016,2.6,2,37038,43854,"Sports rims, keyless entry/start, electric memory seats/tailgate, reverse sensors, cruise control, Audi MMI navi with BT, front & rear recording cam.",7.0,Q5,18322.0,2016.0,SUV,I4,premium unleaded (required),all wheel drive,8-speed shiftable automatic,5.0,1849.8866213151928,74.94300000000001
Toyota Camry 2.4A G ,57800,11880,161281,2362,123,23-Feb-2009,4.86,2,28332,28332,"New leather seats, nice dashboard conditions, sport rims, factory fitted audio system, reverse sensors and etc.",84.0,Camry,37650.0,2009.0,Sedan,4.0,Gasoline / Electric Hybrid,Front,Manual,5.0,1499.7732426303855,70.02250000000001
Volkswagen Tiguan 2.0A TSI Sunroof ,78800,12900,141061,1984,147,11-May-2010,6.02,1,31689,31689,"Volkswagen audio system, spacious interior, multifunction steering wheel, knockdown rear seats and rear climate controls. Full Moonroof!",392.0,Tiguan,35603.0,2010.0,SUV,4.0,Gasoline,Front,Manual,5.0,1556.9160997732426,63.58800000000001
Porsche Macan S 3.0A PDK,253800,37210,45000,2995,260,23-Aug-2019,5.42,1,73390,104102,"Agent unit with warranty, a car driven by 1 careful owner. Macan S3.0 V6 twin turbo is a unit that have zip like a bullet on the street. Its branding & compact size make it easy to park. Viewing by appointment.",341.0,Macan,11554.0,2019.0,SUV,I4,premium unleaded (required),all wheel drive,7-speed automated manual,5.0,1858.9569160997733,74.94300000000001
BMW 2 Series 218i Active Tourer,89800,17770,75000,1499,100,24-Apr-2018,4.0,3,30155,34217,"Sport rims, leather seat, reverse camera, electric memory seats. multi function steering wheel control, auto headlight and wiper. multi driving mode.",140.0,2 Series,12364.0,2018.0,Convertible,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,4.0,1668.9342403628118,51.8545
Mercedes-Benz E-Class E200 Exclusive,141777,22010,85000,1991,135,12-Dec-2018,4.72,2,57519,75535,"Full screen cockpit cluster, NAVI, multi steer steering wheel, reverse camera, keyless go, Bluetooth!",303.0,E-Class,14253.0,2018.0,Sedan,V6,premium unleaded (required),all wheel drive,9-speed shiftable automatic,5.0,1879.8185941043084,79.8635
Honda HR-V 1.5A LX,37888,13960,82150,1497,88,22-Jan-2016,0.83,2,23228,24520,"Factory fitted audio, Bluetooth, LED headlights, folding side mirrors, multi function steering wheels, knockdown rear seats, reverse camera.",40.0,HR-V,19534.0,2016.0,SUV,I4,regular unleaded,front wheel drive,6-speed manual,5.0,1322.9024943310658,49.962
Volkswagen Golf 1.4A TSI Sunroof ,56800,14700,44000,1395,103,30-Mar-2013,3.86,3,29091,14091,"Forged Gearbox/Engine, ABT exhaust with cert, AP Racing 6 brakes, Bilstein suspension,18' Vossen sports rims, carbon Revo Carbon bonnet & etc.",419.0,Golf,28739.0,2013.0,Hatchback,5.0,Gasoline,Front,5-speed manual,5.0,1357.8231292517007,54.8825
Audi R8 4.2A FSI Quattro R-tronic ,228800,29410,64000,4163,316,25-Apr-2012,7.77,3,148115,148115,"Multi function steering wheel with paddle shifters. Auto headlights, electric leather seat. Reverse sensors. 20"" BBS sports rims.",117.0,R8,29042.0,2012.0,Coupe,8.0,Gasoline - Premium,AWD,6-speed manual,2.0,1639.9092970521542,90.083
Volkswagen Beetle 1.2A TSI Sunroof,81800,16200,53000,1197,77,28-Aug-2018,4.43,3,19857,19857,"18"" rims, auto headlights, LED DRL, reverse sensors, oil temperature, timer and turbo pressure meters, electric retractable side mirrors.",501.0,Beetle,15125.0,2018.0,Hatchback,I4,regular unleaded,front wheel drive,6-speed shiftable automatic,4.0,1365.9863945578231,54.8825
Audi A3 Sedan 1.0A TFSI S-tronic,118800,15940,25000,999,85,15-Dec-2020,6.73,1,22084,22918,"RS3 bodykit, 18"" RS rims, legal exhaust with cert, ambience lighting, Audi MMI audio system, driver's electric seat, reverse camera, parking sensors.",103.0,A3,6368.0,2020.0,Sedan,I4,regular unleaded,all wheel drive,7-speed automated manual,5.0,1549.659863945578,54.8825
Lexus RX Turbo RX200t Luxury Sunroof,139800,27380,100238,1998,175,29-Dec-2017,3.77,3,56222,73200,"20"" sports rims, premium GPS/Bluetooth/audio sound system with 10 speakers, 2 x electric memory leather seats, cruise control, auto climatic aircon.",276.0,RX,17020.0,2017.0,SUV,V6,regular unleaded,front wheel drive,8-speed shiftable automatic,5.0,1914.7392290249431,72.672
Mercedes-Benz S-Class S500L Mild Hybrid AMG Line 4MATIC Premium Executive,442800,43370,38000,2999,336,13-May-2022,8.05,2,115041,179074,"AMG line package, 64 ambient lighting, panoramic sunroof, sports rims, electronic memory seats, burmester sound system, airmatic, LED display",311.0,S-Class,2588.0,2022.0,Large Cars,8.0,Premium Unleaded (Required),Rear Wheel Drive,Automatic,7.0,2629.4784580498867,90.083
BMW 5 Series 530i Luxury,104800,23960,92987,1998,185,28-Apr-2017,3.01,1,49363,61109,"Sports rims, leather seats, navigation and Bluetooth, advance key, wireless charging, auto tailgate, ambient lights.",142.0,5 Series,15416.0,2017.0,Sedan,I4,premium unleaded (recommended),rear wheel drive,8-speed shiftable automatic,5.0,1698.8662131519277,68.13
Mazda 3 1.5A Sunroof,41800,13210,128000,1496,88,6-Dec-2016,2.7,2,17063,12063,"Leather Seats, Sports Rims, Factory Fitted Audio System With BT Connect, Reverse Sensors, Knockdown Rear Seats, Retractable Side Mirror",408.0,CX-3,19992.0,2016.0,SUV,I4,regular unleaded,all wheel drive,6-speed shiftable automatic,5.0,1338.7755102040817,45.041500000000006
Rolls-Royce Phantom Drophead Convertible ,839000,211200,39800,6749,338,12-Mar-2008,3.97,4,520419,520419,"21""RR Signature Chrome Rims. Multi-Function Steering Wheel. Wooden Interior Trim Design. RR Monogram Headrests. Reverse Camera. Navigation System.",456.0,Phantom,39851.0,2008.0,Sedan,12.0,Gasoline,Rear,Manual,5.0,2629.4784580498867,99.924
